partner,Date,Casey,Casey,CML,CML,IDC,IDC,Jason,Jason,Ken,Ken,LAN MLN,LAN MLN,Patterson,Patterson,Phil,Phil,Travis,Travis
ownership,,OIL,GAS,OIL,GAS,OIL,GAS,OIL,GAS,OIL,GAS,OIL,GAS,OIL,GAS,OIL,GAS,OIL,GAS
1840,2011-03-19,0.0,0.0,2.30465123,2.77453722,48.69839352000001,68.31768740000001,0.00385262,0.0,194.29256248000002,315.92267317,17.42523836,1.23573514,200.12668369000002,301.6910756,21.396125900000005,31.800546880000002,0.0,0.0
1841,2011-03-20,0.0,0.0,1.8313864400000002,3.28278338,38.48723953,76.07612646999999,0.009631550000000001,0.0,158.05138331999999,339.6917407199999,11.432839870000002,1.22765076,153.14112953999998,334.74103658,15.194167460000003,36.469113619999995,0.0,0.0
1842,2011-03-21,0.0,0.0,1.7325283100000004,3.22477838,37.15250604999999,75.65210289,0.00385262,0.0,153.90036159,339.53754144000004,4.59778452,0.8030530200000001,140.45052702,332.42613992,15.184687669999997,36.29186313,0.0,0.0
1843,2011-03-22,0.0,0.0,3.2628613800000004,3.1800112200000004,62.16141646000001,73.78830478999998,0.00385262,0.0,237.66292351000004,326.37820611999996,16.842159480000003,2.3476242500000004,212.36075463999995,323.32497718,30.272818770000004,36.1566826,0.0,0.0
1844,2011-03-23,0.0,0.0,5.463341079999999,2.8658195,99.43223335999998,66.79575279999999,0.00385262,0.0,363.80932732,294.61671984,34.89045383999999,2.29766956,306.2921325500001,287.33930553,53.16519237,32.76705151,0.0,0.0
1845,2011-03-24,0.0,0.0,1.99484525,3.4653848999999997,39.38306055,77.77815992,0.00385262,0.0,143.15111107,337.75474301,23.387083389999997,9.54838835,159.70812045999995,335.51498218,18.648646190000008,38.24053517000001,0.0,0.0
1846,2011-03-25,0.0,0.0,3.5545249899999996,3.83304428,70.01696354999999,85.02003715,0.00385262,0.0,277.48515033999996,364.4624432,18.66575292,10.38727275,249.82378770999998,354.81167216999995,33.82747006,42.61932945,0.0,0.0
1847,2011-03-26,0.0,0.0,3.55584831,3.70074245,68.42660165,83.98730895000001,0.00385262,0.0,262.99437967999995,362.79374684,19.052795340000003,2.35019699,230.03641588000002,335.66290535,34.05989488999999,42.70925743000001,0.0,0.0
1848,2011-03-27,0.0,0.0,3.9988814599999998,3.53116208,80.78605907000001,79.36090318999999,0.00385262,0.0,300.0186975000001,340.72404728,27.72053071,1.7464598399999998,274.53077267000003,317.70448393,41.677220960000014,40.346350599999994,0.0,0.0
1849,2011-03-28,0.0,0.0,4.520898139999999,3.8347163500000003,81.77261058000003,82.89322596999999,0.00385262,0.0,286.11898833000004,349.48075226,36.8916539,12.951176219999999,280.75706482000004,331.31604935999997,43.40041807,41.67178999,0.0,0.0
1850,2011-03-29,0.0,0.0,3.512732310000001,3.9867736199999992,67.69031039000001,88.14692348,0.00385262,0.0,261.18138775999995,378.53093781999996,18.18285525,9.12487335,220.04935527,355.48262925,33.108966839999994,44.39507417,0.0,0.0
1851,2011-03-30,0.0,0.0,4.25344101,4.45680558,79.42835433,95.83758264999997,0.00385262,0.0,296.05882088,403.67985289,29.62108516,16.97794388,271.86272227,389.74147932,40.36767017999998,48.566325060000004,0.0,0.0
1852,2011-03-31,0.0,0.0,3.9033777100000004,3.6349649299999998,74.23161102000002,78.42511104,0.00385262,0.0,274.23764195999996,327.56967619000005,27.921716980000003,6.540344910000001,248.38645754,314.37643133,37.83194572000001,40.66567793,0.0,0.0
